TYPE,CUSTOMER_DEPARTMENT,MAIN_CUSTOMER,COMPLEXITY,PRODUCT,ROUNDS,MACHINE,PROD_STE,NECK,STITCH,YARN,ORDER
CNT,Celio Paris Accessories Gents,Celio International SA,B,Scarf,2,HF,FKL,Not Applicable,Rib,CASHMERE,N
CNT,Celio Paris Accessories Gents,Celio International SA,B,Scarf,3,HF,FKL,Not Applicable,Rib,CASHMERE,N
CNT,Celio Paris Accessories Gents,Celio International SA,B,Scarf,4,HF,FKL,Not Applicable,Rib,CASHMERE,N
CNT,Celio Paris Accessories Gents,Celio International SA,B,Scarf,5,HF,FKL,Not Applicable,Rib,CASHMERE,N
CNT,Woolworths Classic Collection Knitwear Gents,Woolworths (Pty) Ltd,B,Pullover,1,HF,FKL,V-Neck,Jersey,COTTON,N
CNT,Marks & Spencer Plc T30 Gents,Marks & Spencer Plc,B,Pullover,1,AUTO,FKL,Crew Neck,Stripes,COTTON,N
CNT,Woolworths Classic Collection Knitwear Gents,Woolworths (Pty) Ltd,B,Pullover,1,HF,FKL,Crew Neck,Jersey,COTTON_BLENDS,N
APR,R&D Gents,R&D Testing,B,Pullover,1,HF,FKL,Crew Neck,Jersey,COTTON,N
CNT,Woolworths (Pty) Ltd Re Gents,Woolworths (Pty) Ltd,C1,Pullover,1,HF,FKL,Crew Neck,Jersey,MERINO_BLENDS,N
CNT,Woolworths (Pty) Ltd Re Gents,Woolworths (Pty) Ltd,C1,Pullover,1,HF,FKL,V-Neck,Jersey,COTTON_BLENDS,N
CNT,Woolworths (Pty) Ltd Re Gents,Woolworths (Pty) Ltd,C1,Pullover,2,HF,FKL,V-Neck,Jersey,COTTON_BLENDS,N
CNT,Woolworths (Pty) Ltd Mainstream Ladies,Woolworths (Pty) Ltd,B,Cardigan,1,AUTO,ANS,V-Neck,Jersey,ACRYLIC,N
CNT,Woolworths (Pty) Ltd Mainstream Ladies,Woolworths (Pty) Ltd,B,Cardigan,2,AUTO,ANS,V-Neck,Jersey,VISCOSE_BLENDS,N
CNT,Woolworths (Pty) Ltd Mainstream Ladies,Woolworths (Pty) Ltd,B,Cardigan,1,AUTO,ANS,Not Applicable,Jersey,ACRYLIC,N
CNT,Woolworths (Pty) Ltd Mainstream Ladies,Woolworths (Pty) Ltd,B,Cardigan,1,HF,ANS,Crew Neck,Jersey,ACRYLIC,N
CNT,Massimo Dutti,Massimo Dutti,C1,Pullover,1,AUTO,FKL,Turtle Neck,Knit/purl,MERINO_BLENDS,N
CNT,Massimo Dutti,Massimo Dutti,B,Pullover,1,AUTO,FKL,Crew Neck,Tuck,MERINO_BLENDS,N
CNT,Woolworths Classic Collection Knitwear Gents,Woolworths (Pty) Ltd,B,Pullover,1,AUTO,FKL,Crew Neck,Jersey,ACRYLIC,N
CNT,Hackett London Menswear Company Gents,Hackett London Menswear Company,C1,Pullover,1,AUTO,ANS,Crew Neck,Tuck,COTTON,Y
CNT,Celio Paris Gents,Celio International SA,B,Pullover,1,AUTO,FKL,Crew Neck,Knit/purl,COTTON_BLENDS,N
CNT,Woolworths Classic Collection Knitwear Gents,Woolworths (Pty) Ltd,B,Pullover,1,AUTO,FKL,Crew Neck,Jersey,ACRYLIC,N
CNT,Hackett London Menswear Company Gents,Hackett London Menswear Company,C1,Pullover,1,AUTO,FKL,Crew Neck,Cable/Aran,COTTON,N
CNT,Cape Union Mart Old Khaki Gents,Cape Union Mart,B,Pullover,1,HF,US1,V-Neck,Jersey,COTTON,N
CNT,Marks & Spencer Plc T30 Gents,Marks & Spencer Plc,C1,Pullover,1,AUTO,FKL,Crew Neck,Intarsia,LAMBSWOOL,Y
CNT,Cape Union Mart Old Khaki Gents,Cape Union Mart,B,Pullover,1,AUTO,FKL,Crew Neck,Tuck,COTTON,N
CNT,Cape Union Mart Old Khaki Gents,Cape Union Mart,B,Pullover,2,AUTO,FKL,Crew Neck,Tuck,COTTON,N
CNT,Woolworths (Pty) Ltd Re Gents,Woolworths (Pty) Ltd,B,Pullover,1,HF,FKL,Crew Neck,Jersey,COTTON_BLENDS,N
CNT,Bonobo Gents,Bonobo Planet,B,Pullover,1,HF,FKL,Crew Neck,Rib,COTTON_BLENDS,N
CNT,Woolworths Classic Collection Knitwear Gents,Woolworths (Pty) Ltd,B,Pullover,1,AUTO,FKL,Crew Neck,Tuck,COTTON,N
CNT,Woolworths (Pty) Ltd Re Gents,Woolworths (Pty) Ltd,C1,Pullover,1,HF,FKL,Crew Neck,Jersey,COTTON_BLENDS,N
APR,Hackett London Menswear Company Gents,Hackett London Menswear Company,C1,Pullover,1,HF,US1,Rugby collar,Stripes,LAMBSWOOL,Y
CNT,Woolworths Classic Collection Knitwear Gents,Woolworths (Pty) Ltd,B,Pullover,1,AUTO,FKL,Crew Neck,Knit/purl,COTTON,N
CNT,Devred SAS Gents,Devred SAS,C2,Pullover,1,AUTO,FKL,High Crew Neck,Jacquard,COTTON_BLENDS,N
CNT,Woolworths (Pty) Ltd Re Gents,Woolworths (Pty) Ltd,C1,Pullover,1,HF,FKL,Polo Collar,Jersey,COTTON,N
CNT,Devred SAS Gents,Devred SAS,B,Pullover,1,AUTO,FKL,Crew Neck,Knit/purl,COTTON,N
APR,Decenio-Mediterrano Gents,Decenio-Mediterrano,B,Pullover,1,AUTO,FKL,Crew Neck,Jersey,LAMBSWOOL,N
APR,Decenio-Mediterrano Gents,Decenio-Mediterrano,B,Pullover,2,AUTO,FKL,Crew Neck,Jersey,LAMBSWOOL,N
APR,Decenio-Mediterrano Gents,Decenio-Mediterrano,B,Pullover,3,AUTO,ANS,Crew Neck,Jersey,LAMBSWOOL,Y
CNT,David Jones (Pty) Ltd Mainstream Gents,Woolworths (Pty) Ltd,B,Pullover,1,HF,FKL,V-Neck,Jersey,COTTON,N
CNT,Devred SAS Gents,Devred SAS,C2,Pullover,1,AUTO,FKL,V-Neck,Tuck,CASHMERE_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,C2,Pullover,2,AUTO,FKL,V-Neck,Tuck,CASHMERE_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,C1,Pullover,1,AUTO,FKL,Crew Neck,Cable/Aran,COTTON_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,C1,Cardigan,1,AUTO,FKL,Shawl Collar,Tuck,COTTON_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,C1,Cardigan,2,HF,FKL,Shawl Collar,Tuck,COTTON_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,C1,Pullover,1,AUTO,FKL,Turtle Neck,Knit/purl,CASHMERE_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,C1,Pullover,2,AUTO,FKL,Turtle Neck,Knit/purl,CASHMERE_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,C2,Pullover,1,AUTO,FKL,Shawl Collar,Knit/purl,CASHMERE_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,C2,Pullover,2,AUTO,FKL,Shawl Collar,Knit/purl,CASHMERE_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,C2,Pullover,3,AUTO,FKL,Shawl Collar,Knit/purl,CASHMERE_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,C2,Pullover,1,AUTO,FKL,Shawl Collar,Jersey,CASHMERE_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,C2,Pullover,2,AUTO,FKL,Shawl Collar,Jersey,CASHMERE_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,C2,Pullover,1,AUTO,FKL,High Crew Neck,Knit/purl,CASHMERE_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,C2,Pullover,2,AUTO,FKL,High Crew Neck,Knit/purl,CASHMERE_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,C2,Pullover,3,AUTO,AJX,High Crew Neck,Knit/purl,CASHMERE_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,C2,Pullover,4,AUTO,AJX,High Crew Neck,Knit/purl,CASHMERE_BLENDS,N
APR,Devred SAS Gents,Devred SAS,C2,Pullover,5,AUTO,AJX,High Crew Neck,Knit/purl,CASHMERE_BLENDS,Y
CNT,Devred SAS Gents,Devred SAS,C2,Pullover,1,AUTO,FKL,Tunisian collar,Jersey,ACRYLIC_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,C2,Pullover,2,AUTO,FKL,Tunisian collar,Jersey,ACRYLIC_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,B,Pullover,1,AUTO,FKL,Turtle Neck,Jersey,ACRYLIC_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,B,Pullover,2,AUTO,AJX,Turtle Neck,Jersey,ACRYLIC_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,C1,Pullover,1,AUTO,FKL,Crew Neck,Jersey,ACRYLIC_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,C1,Pullover,2,AUTO,AJX,Crew Neck,Jersey,COTTON,N
CNT,Hackett London Menswear Company Gents,Hackett London Menswear Company,C1,Pullover,1,AUTO,ANS,High Crew Neck,Tuck,COTTON,Y
CNT,Woolworths (Pty) Ltd Mainstream Ladies,Woolworths (Pty) Ltd,B,Cardigan,1,AUTO,ANS,Not Applicable,Jersey,ACRYLIC,N
CNT,Marketing Trip Gents - North-1,Marketing Trip,B,Pullover,1,AUTO,FKL,Crew Neck,Jacquard,ACRYLIC_BLENDS,N
CNT,OVS  Con S.P.A  Oviesse Gents,OVS  Con S.P.A  Oviesse   ,B,Pullover,1,AUTO,AJX,Crew Neck,Jersey,COTTON,Y
CNT,Celio Paris Accessories Gents,Celio International SA,B,Not Applicable,1,HF,FKL,Not Applicable,Jersey,LAMBSWOOL_BLENDS,N
CNT,Breuninger Ladies,Arif,B,Pullover,1,AUTO,ANS,Crew Neck,Jersey,CASHMERE,N
CNT,Next Retail Limited Gents,Next Retail Limited,C1,Pullover,1,AUTO,FKL,High Crew Neck,Jacquard,LAMBSWOOL,N
CNT,Next Retail Limited Gents,Next Retail Limited,C1,Pullover,2,AUTO,ANS,High Crew Neck,Jacquard,LAMBSWOOL,N
APR,Next Retail Limited Gents,Next Retail Limited,C1,Pullover,3,AUTO,ANS,High Crew Neck,Jacquard,LAMBSWOOL,N
APR,Next Retail Limited Gents,Next Retail Limited,C1,Pullover,4,AUTO,ANS,High Crew Neck,Jacquard,LAMBSWOOL,Y
CNT,Marketing Trip Gents - South-1,Marketing Trip,B,Pullover,1,AUTO,FKL,Crew Neck,Tuck,COTTON,N
CNT,Marketing Trip Gents - South-1,Marketing Trip,B,Pullover,2,AUTO,FKL,Crew Neck,Tuck,COTTON,N
CNT,Next Retail Limited Gents,Next Retail Limited,B,Pullover,1,HF,FKL,Crew Neck,Jersey,MERINO,N
CNT,Marketing Trip Gents - South-1,Marketing Trip,B,Pullover,1,HF,FKL,V-Neck,Jersey,COTTON_BLENDS,N
CNT,Marketing Trip Gents - South-1,Marketing Trip,C1,Pullover,1,AUTO,FKL,V-Neck,Intarsia,COTTON_BLENDS,N
CNT,Marketing Trip Gents - South-1,Marketing Trip,C1,Pullover,2,AUTO,FKL,V-Neck,Intarsia,COTTON_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,C2,Pullover,1,AUTO,FKL,Shawl Collar,Jacquard,COTTON_BLENDS,N
CNT,Woolworths (Pty) Ltd Mainstream Ladies,Woolworths (Pty) Ltd,C1,Pullover,1,AUTO,ANS,V-Neck,Jersey,COTTON,N
CNT,Devred SAS Gents,Devred SAS,B,Pullover,1,AUTO,FKL,V-Neck,Knit/purl,COTTON,N
CNT,Devred SAS Gents,Devred SAS,B,Pullover,2,AUTO,FKL,V-Neck,Knit/purl,COTTON,N
CNT,Massimo Dutti Kids,Massimo Dutti,C1,Pullover,1,HF,FKL,Crew Neck,Jersey,LAMBSWOOL,N
CNT,Marks & Spencer Plc T30 Gents,Marks & Spencer Plc,C1,Pullover,1,AUTO,FKL,High Crew Neck,Cable/Aran,NYLON_BLENDS,N
CNT,Marks & Spencer Plc T30 Gents,Marks & Spencer Plc,C1,Pullover,2,AUTO,FKL,High Crew Neck,Cable/Aran,NYLON_BLENDS,N
CNT,Marks & Spencer Plc T30 Gents,Marks & Spencer Plc,C1,Pullover,3,AUTO,ANS,High Crew Neck,Cable/Aran,NYLON_BLENDS,N
CNT,Marks & Spencer Plc T30 Gents,Marks & Spencer Plc,C1,Pullover,4,AUTO,ANS,High Crew Neck,Cable/Aran,NYLON_BLENDS,N
CNT,Marks & Spencer Plc T30 Gents,Marks & Spencer Plc,C1,Pullover,5,AUTO,ANS,High Crew Neck,Cable/Aran,NYLON_BLENDS,Y
APR,Marks & Spencer Plc T30 Gents,Marks & Spencer Plc,C1,Pullover,6,AUTO,ANS,High Crew Neck,Cable/Aran,NYLON_BLENDS,N
CNT,Marks & Spencer Plc T30 Gents,Marks & Spencer Plc,C1,Pullover,1,AUTO,FKL,Crew Neck,Cable/Aran,LAMBSWOOL_BLENDS,N
CNT,Marks & Spencer Plc T30 Gents,Marks & Spencer Plc,C1,Pullover,2,AUTO,FKL,Crew Neck,Cable/Aran,LAMBSWOOL_BLENDS,N
CNT,Marks & Spencer Plc T30 Gents,Marks & Spencer Plc,B,Swatch,3,HF,FKL,Not Applicable,Jersey,LAMBSWOOL_BLENDS,N
APR,Marks & Spencer Plc T30 Gents,Marks & Spencer Plc,C1,Pullover,4,AUTO,FKL,Crew Neck,Cable/Aran,LAMBSWOOL_BLENDS,Y
APR,Woolworths Classic Collection Knitwear Gents,Woolworths (Pty) Ltd,B,Pullover,1,AUTO,FKL,Crew Neck,Knit/purl,COTTON,N
APR,Woolworths Classic Collection Knitwear Gents,Woolworths (Pty) Ltd,B,Pullover,2,AUTO,FKL,Crew Neck,Knit/purl,COTTON,Y
CNT,Stockomani - Gents,Stockomani,B,Pullover,1,HF,AJX,V-Neck,Jersey,COTTON_BLENDS,N
APR,Stockomani - Gents,Stockomani,B,Pullover,2,HF,AJX,V-Neck,Jersey,COTTON_BLENDS,Y
CNT,Woolworths Classic Collection Knitwear Gents,Woolworths (Pty) Ltd,B,Pullover,1,AUTO,ANS,V-Neck,Jersey,COTTON,Y
CNT,Woolworths Classic Collection Knitwear Gents,Woolworths (Pty) Ltd,B,Pullover,2,AUTO,FKL,V-Neck,Jersey,COTTON,Y
CNT,Devred SAS Gents,Devred SAS,B,Pullover,1,AUTO,FKL,Crew Neck,Knit/purl,ACRYLIC_BLENDS,N
CNT,Celio Paris Accessories Gents,Celio International SA,B,Bonnet,1,AUTO,FKL,Not Applicable,Rib,CASHMERE,N
CNT,Celio Paris Accessories Gents,Celio International SA,B,Bonnet,2,AUTO,FKL,Not Applicable,Rib,CASHMERE,N
CNT,Charterhouse Holdings Plc Gents,Charterhouse Holdings Plc,B,Pullover,1,HF,AJX,Crew Neck,Jersey,COTTON,Y
CNT,Celio Paris Gents,Celio International SA,B,Pullover,1,AUTO,FKL,Crew Neck,Stripes,CASHMERE,N
CNT,Massimo Dutti Kids,Massimo Dutti,B,Pullover,1,AUTO,FKL,Crew Neck,Jacquard,LAMBSWOOL,N
CNT,Betty Barclay Gents,Betty Barclay,B,Pullover,1,HF,AJX,Crew Neck,Jersey,COTTON,Y
CNT,Dunnes Stores Gents,Dunnes Stores,B,Pullover,1,HF,AJX,Crew Neck,Jersey,COTTON,Y
CNT,Gentleman Farmer Gents,Gentleman Farmer,B,Pullover,1,AUTO,FKL,V-Neck,Jersey,COTTON,N
CNT,Gentleman Farmer Gents,Gentleman Farmer,B,Pullover,2,HF,AJX,V-Neck,Jersey,COTTON,N
CNT,Gentleman Farmer Gents,Gentleman Farmer,B,Pullover,1,HF,FKL,Crew Neck,Jersey,COTTON,N
CNT,Gentleman Farmer Gents,Gentleman Farmer,B,Pullover,2,HF,AJX,Crew Neck,Jersey,COTTON,N
CNT,Gentleman Farmer Gents,Gentleman Farmer,B,Pullover,1,AUTO,ANS,V-Neck,Tuck,COTTON,N
CNT,Gentleman Farmer Gents,Gentleman Farmer,B,Pullover,2,AUTO,ANS,V-Neck,Tuck,COTTON,N
CNT,Massimo Dutti Kids,Massimo Dutti,B,Pullover,1,AUTO,FKL,Crew Neck,Jacquard,LAMBSWOOL,N
APR,Massimo Dutti Kids,Massimo Dutti,C1,Pullover,2,AUTO,FKL,Crew Neck,Jacquard,WOOL_BLENDS,N
APR,Massimo Dutti Kids,Massimo Dutti,C1,Pullover,3,AUTO,FKL,Crew Neck,Jacquard,WOOL_BLENDS,Y
CNT,Massimo Dutti Kids,Massimo Dutti,B,Pullover,1,AUTO,FKL,Crew Neck,Jacquard,LAMBSWOOL,N
CNT,Celio Paris Gents,Celio International SA,B,Pullover,1,AUTO,FKL,Crew Neck,Jacquard,LAMBSWOOL_BLENDS,N
CNT,Celio Paris Gents,Celio International SA,B,Pullover,1,AUTO,FKL,Crew Neck,Jacquard,ACRYLIC_BLENDS,N
CNT,Celio Paris Gents,Celio International SA,B,Pullover,1,HF,FKL,Crew Neck,Jersey,MERINO_BLENDS,N
CNT,Celio Paris Gents,Celio International SA,B,Pullover,2,HF,FKL,Crew Neck,Jersey,MERINO_BLENDS,N
CNT,Marketing Trip Gents - South-1,Marketing Trip,C1,Pullover,1,AUTO,FKL,Crew Neck,Knit/purl,COTTON_BLENDS,N
CNT,Marketing Trip Gents - South-1,Marketing Trip,C1,Pullover,1,HF,FKL,Crew Neck,Jersey,COTTON_BLENDS,N
CNT,Marketing Trip Gents - South-1,Marketing Trip,C1,Pullover,2,HF,FKL,Crew Neck,Jersey,COTTON_BLENDS,N
CNT,Marketing Trip Gents - South-1,Marketing Trip,C1,Pullover,3,HF,FKL,Crew Neck,Jersey,COTTON_BLENDS,N
CNT,Marketing Trip Gents - South-1,Marketing Trip,C1,Pullover,4,HF,FKL,Crew Neck,Jersey,COTTON_BLENDS,N
CNT,Marketing Trip Gents - North-1,Marketing Trip,B,Pullover,1,HF,FKL,V-Neck,Jersey,COTTON_BLENDS,N
CNT,Celio Paris Gents,Celio International SA,B,Pullover,1,AUTO,FKL,High Crew Neck,Tuck,COTTON_BLENDS,N
CNT,Marketing Trip Gents - South-1,Marketing Trip,B,Pullover,1,HF,FKL,Crew Neck,Tuck,COTTON_BLENDS,N
CNT,Celio Paris Gents,Celio International SA,B,Pullover,1,AUTO,FKL,Crew Neck,Jacquard,ACRYLIC_BLENDS,N
CNT,Celio Paris Gents,Celio International SA,B,Pullover,1,AUTO,FKL,Crew Neck,Jacquard,LAMBSWOOL_BLENDS,N
CNT,Celio Paris Gents,Celio International SA,B,Pullover,2,AUTO,FKL,Crew Neck,Jacquard,ACRYLIC_BLENDS,N
APR,Celio Paris Gents,Celio International SA,B,Pullover,3,AUTO,ANS,Crew Neck,Jacquard,ACRYLIC_BLENDS,N
APR,Celio Paris Gents,Celio International SA,B,Pullover,4,AUTO,ANS,Crew Neck,Jacquard,ACRYLIC_BLENDS,N
APR,Celio Paris Gents,Celio International SA,B,Pullover,5,AUTO,FKL,Crew Neck,Jacquard,ACRYLIC_BLENDS,Y
CNT,Gentleman Farmer Gents,Gentleman Farmer,B,Pullover,1,HF,FKL,High Crew Neck,Jersey,COTTON,N
CNT,Gentleman Farmer Gents,Gentleman Farmer,B,Pullover,2,HF,AJX,High Crew Neck,Jersey,COTTON,N
CNT,Devred SAS Gents,Devred SAS,B,Pullover,1,AUTO,FKL,Crew Neck,Jersey,ACRYLIC_BLENDS,N
APR,Decenio-Mediterrano Gents,Decenio-Mediterrano,C1,Pullover,1,AUTO,FKL,High Crew Neck,Jersey,LAMBSWOOL,N
APR,Decenio-Mediterrano Gents,Decenio-Mediterrano,C1,Pullover,2,AUTO,ANS,High Crew Neck,Jersey,LAMBSWOOL,Y
CNT,Marketing Trip Gents - South-1,Marketing Trip,C1,Pullover,1,AUTO,FKL,Crew Neck,Tuck,COTTON_BLENDS,N
CNT,Marketing Trip Gents - South-1,Marketing Trip,C1,Pullover,2,AUTO,FKL,Crew Neck,Tuck,COTTON_BLENDS,N
CNT,Marketing Trip Gents - South-1,Marketing Trip,B,Pullover,1,HF,FKL,Crew Neck,Jersey,COTTON,N
CNT,Marketing Trip Gents - South-1,Marketing Trip,C1,Pullover,1,AUTO,FKL,High Crew Neck,Tuck,COTTON,N
CNT,Marketing Trip Gents - South-1,Marketing Trip,B,Pullover,1,HF,FKL,Crew Neck,Jersey,COTTON_BLENDS,N
CNT,Marks & Spencer Plc T30 Gents,Marks & Spencer Plc,C1,Cardigan,1,HF,FKL,High Crew Neck,Jersey,LAMBSWOOL,N
APR,Marks & Spencer Plc T30 Gents,Marks & Spencer Plc,C1,Cardigan,2,HF,FKL,High Crew Neck,Jersey,LAMBSWOOL,N
APR,Marks & Spencer Plc T30 Gents,Marks & Spencer Plc,C1,Cardigan,3,HF,FKL,High Crew Neck,Jersey,LAMBSWOOL,Y
CNT,Marketing Trip Gents - South-1,Marketing Trip,C1,Pullover,1,AUTO,FKL,Crew Neck,Jersey,COTTON,N
APR,Decenio-Mediterrano Gents,Decenio-Mediterrano,B,Pullover,1,AUTO,FKL,V-Neck,Jersey,LAMBSWOOL,N
APR,Decenio-Mediterrano Gents,Decenio-Mediterrano,B,Pullover,2,AUTO,FKL,V-Neck,Jersey,LAMBSWOOL,N
APR,Decenio-Mediterrano Gents,Decenio-Mediterrano,B,Pullover,3,AUTO,FKL,V-Neck,Jersey,LAMBSWOOL,Y
APR,Lion Of Porches  Gents,Lion Of Porches,C1,Cardigan,1,AUTO,FKL,High Crew Neck,Jersey,LAMBSWOOL,N
APR,Lion Of Porches  Gents,Lion Of Porches,C1,Cardigan,2,AUTO,ANS,High Crew Neck,Jersey,LAMBSWOOL,Y
APR,Lion Of Porches  Gents,Lion Of Porches,C1,Pullover,1,AUTO,FKL,High Crew Neck,Jersey,LAMBSWOOL,N
APR,Lion Of Porches  Gents,Lion Of Porches,C1,Pullover,2,AUTO,FKL,High Crew Neck,Jersey,LAMBSWOOL,N
APR,Lion Of Porches  Gents,Lion Of Porches,C1,Pullover,3,AUTO,FKL,High Crew Neck,Jersey,LAMBSWOOL,Y
CNT,Thomas Dean - Gents,Thomas Dean,B,Pullover,1,HF,FKL,V-Neck,Jersey,LAMBSWOOL_BLENDS,N
APR,Lion Of Porches  Gents,Lion Of Porches,B,Pullover,1,AUTO,FKL,V-Neck,Jersey,LAMBSWOOL,N
APR,Lion Of Porches  Gents,Lion Of Porches,B,Pullover,2,AUTO,ANS,V-Neck,Jersey,LAMBSWOOL,N
APR,Lion Of Porches  Gents,Lion Of Porches,B,Pullover,3,AUTO,FKL,V-Neck,Jersey,LAMBSWOOL,Y
CNT,The Edinburgh Woollen Mill Limited Ladies,The Edinburgh Woollen Mill Limited,B,Pullover,1,HF,FKL,Crew Neck,Jersey,ACRYLIC_BLENDS,N
CNT,Hackett London Menswear Company Gents,Hackett London Menswear Company,C1,Pullover,1,AUTO,FKL,Polo Collar,Stripes,COTTON,N
CNT,Hackett London Menswear Company Gents,Hackett London Menswear Company,C1,Pullover,2,AUTO,FKL,V-Neck,Jersey,COTTON_BLENDS,N
CNT,John Lewis Overseas Plc Gents,John Lewis Overseas Plc,C1,Pullover,1,AUTO,FKL,Crew Neck,Knit/purl,MERINO_BLENDS,N
APR,John Lewis Overseas Plc Gents,John Lewis Overseas Plc,B,Pullover,2,AUTO,ANS,Crew Neck,Knit/purl,MERINO_BLENDS,N
APR,John Lewis Overseas Plc Gents,John Lewis Overseas Plc,B,Pullover,3,AUTO,ANS,Crew Neck,Knit/purl,MERINO_BLENDS,Y
CNT,John Lewis Overseas Plc Gents,John Lewis Overseas Plc,C1,Pullover,1,AUTO,FKL,V-Neck,Knit/purl,MERINO_BLENDS,N
APR,John Lewis Overseas Plc Gents,John Lewis Overseas Plc,C1,Pullover,2,AUTO,ANS,V-Neck,Knit/purl,MERINO_BLENDS,N
APR,John Lewis Overseas Plc Gents,John Lewis Overseas Plc,C1,Pullover,3,AUTO,ANS,V-Neck,Knit/purl,MERINO_BLENDS,Y
CNT,John Lewis Overseas Plc Gents,John Lewis Overseas Plc,C1,Cardigan,1,AUTO,FKL,High Crew Neck,Knit/purl,CASHMERE_BLENDS,N
CNT,John Lewis Overseas Plc Gents,John Lewis Overseas Plc,C1,Cardigan,2,AUTO,FKL,High Crew Neck,Knit/purl,CASHMERE_BLENDS,Y
CNT,John Lewis Overseas Plc Gents,John Lewis Overseas Plc,C1,Pullover,1,AUTO,FKL,High Crew Neck,Knit/purl,CASHMERE_BLENDS,N
APR,John Lewis Overseas Plc Gents,John Lewis Overseas Plc,C1,Pullover,2,AUTO,ANS,High Crew Neck,Tuck,COTTON_BLENDS,N
APR,John Lewis Overseas Plc Gents,John Lewis Overseas Plc,C1,Pullover,3,AUTO,ANS,High Crew Neck,Tuck,COTTON_BLENDS,N
APR,John Lewis Overseas Plc Gents,John Lewis Overseas Plc,C1,Pullover,4,AUTO,ANS,High Crew Neck,Tuck,COTTON_BLENDS,Y
CNT,Hackett London Menswear Company Gents,Hackett London Menswear Company,C2,Cardigan,1,AUTO,FKL,High Crew Neck,Double bed,LAMBSWOOL,Y
CNT,John Lewis Overseas Plc Gents,John Lewis Overseas Plc,C1,Pullover,1,AUTO,FKL,Shawl Collar,Rib,COTTON,N
APR,John Lewis Overseas Plc Gents,John Lewis Overseas Plc,C1,Pullover,2,AUTO,ANS,Shawl Collar,Rib,COTTON,N
APR,John Lewis Overseas Plc Gents,John Lewis Overseas Plc,C1,Pullover,3,AUTO,ANS,Shawl Collar,Rib,COTTON,Y
CNT,Celio Paris Accessories Gents,Celio International SA,B,Scarf,1,HF,FKL,Not Applicable,Tuck,COTTON_BLENDS,N
CNT,Celio Paris Accessories Gents,Celio International SA,B,Scarf,1,HF,FKL,Not Applicable,Jersey,COTTON,N
CNT,Pringle SA - Gents,Pringle,B,Pullover,1,HF,FKL,V-Neck,Jersey,LAMBSWOOL,N
CNT,Pringle SA - Gents,Pringle,B,Pullover,1,HF,FKL,V-Neck,Jersey,LAMBSWOOL,N
CNT,Next Retail Limited Gents,Next Retail Limited,C1,Pullover,1,HF,FKL,Shawl Collar,Jersey,LAMBSWOOL,N
APR,Next Retail Limited Gents,Next Retail Limited,C1,Pullover,2,HF,US1,Shawl Collar,Jersey,LAMBSWOOL,N
APR,Next Retail Limited Gents,Next Retail Limited,C1,Pullover,3,HF,US1,Shawl Collar,Jersey,LAMBSWOOL,Y
CNT,Celio Paris Accessories Gents,Celio International SA,B,Scarf,1,AUTO,FKL,Not Applicable,Jacquard,COTTON_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,B,Pullover,1,AUTO,FKL,Not Applicable,Jersey,COTTON_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,B,Pullover,2,AUTO,AJX,Not Applicable,Jersey,COTTON,N
CNT,Devred SAS Gents,Devred SAS,C1,Pullover,1,AUTO,FKL,V-Neck,Tuck,COTTON_BLENDS,N
CNT,Devred SAS Gents,Devred SAS,C1,Pullover,2,AUTO,AJX,V-Neck,Tuck,COTTON_BLENDS,N
APR,Devred SAS Gents,Devred SAS,B,Pullover,3,AUTO,AJX,V-Neck,Tuck,COTTON_BLENDS,Y
APR,Devred SAS Gents,Devred SAS,B,Pullover,4,AUTO,AJX,V-Neck,Tuck,COTTON_BLENDS,N
APR,Devred SAS Gents,Devred SAS,B,Pullover,5,AUTO,AJX,V-Neck,Tuck,COTTON_BLENDS,N
CNT,Monoprix Exploitation Boys,Monoprix Exploitation,B,Pullover,1,AUTO,FKL,Crew Neck,Tuck,LAMBSWOOL_BLENDS,N
CNT,Monoprix Exploitation Boys,Monoprix Exploitation,B,Pullover,2,AUTO,FKL,Crew Neck,Tuck,LAMBSWOOL_BLENDS,N
